"Provincia","Distrito","Localidad","Codigo","P","D","L"
"AQP","CAYMA","Los Sauces y Pampita Zevallos","1.3.1","1","3","1"
"AQP","CAYMA","Señor de la Caña","1.3.2","1","3","2"
"AQP","CAYMA","Urb.Leon XIII","1.3.3","1","3","3"
"AQP","CAYMA","La Canoa","1.3.4","1","3","4"
"AQP","CAYMA","Cercado de Cayma","1.3.5","1","3","5"
"AQP","CAYMA","La Esplanada","1.3.6","1","3","6"
"AQP","CAYMA","Avidge","1.3.7","1","3","7"
"AQP","CAYMA","5ta.Chavez y Urb.El Remanzo","1.3.8","1","3","8"
"AQP","CAYMA","Residencial Monte Rosa","1.3.9","1","3","9"
"AQP","CAYMA","Villa Cayma-5ta.Monte Flor 1-5ta.Monte Flor 2-5ta.-Monica","1.3.10","1","3","10"
"AQP","CAYMA","Urb.Los Portales","1.3.11","1","3","11"
"AQP","CAYMA","Urb.Macondo","1.3.12","1","3","12"
"AQP","CAYMA","Urb.La Colina de los Arces","1.3.13","1","3","13"
"AQP","CAYMA","Urb.Santa Elisa","1.3.14","1","3","14"
"AQP","CAYMA","Urb.Linda Vista","1.3.15","1","3","15"
"AQP","CAYMA","Urb.Coperativa Ingenieros-Gloria I-Gloria II","1.3.16","1","3","16"
"AQP","CAYMA","Urb.Señorial","1.3.17","1","3","17"
"AQP","CAYMA","Urb.Heresi-los Cerezos-Los Almendros-Los Manzanos-Los Olivos-La Candelaria-La Encantada-Los Guindos-Tronco de Oro-Los Ciruelos-Alto de mi Gloria-El Bosque-Los Magnus","1.3.18","1","3","18"
"AQP","CAYMA","Urb.Rosario-Zona Residencial-Las Condes","1.3.19","1","3","19"
"AQP","CAYMA","Cerro San Jacinto","1.3.20","1","3","20"
"AQP","CAYMA","Urb.Las Azucenas","1.3.21","1","3","21"
"AQP","CAYMA","Pueblo Tradicional-Urb.Entel Peru-Urb.El Carmen-Urb.El Campo-Urb.Belloo Campo-Residencial Almuera-Residencial Las Condes-5ta.San Nicolas-5ta.la Floresta-5ta.Mirador","1.3.22","1","3","22"
"AQP","CAYMA","Los Angeles de Cayma-Urb.Jorge Basadre-Urb.Santa Elisa-Urb. Marisol","1.3.23","1","3","23"
"AQP","CAYMA",NULL,"1.3.24","1","3","24"
"AQP","CAYMA","Urb.La Marina-Urb.San Dorian-Autodema","1.3.25","1","3","25"
"AQP","CAYMA","Urb.La Chacrita-Urb.Bello Horizonte-Urb.Los Angeles","1.3.26","1","3","26"
"AQP","CAYMA","Urb.San Antonio-Urb.El Mirador","1.3.27","1","3","27"
"AQP","CAYMA","Urb.Bello Amanecer","1.3.28","1","3","28"
"AQP","CAYMA","Urb Las Terrazas","1.3.29","1","3","29"
"AQP","CAYMA","Urb.La Campiña","1.3.30","1","3","30"
"AQP","CAYMA","Urb. Los Girasoles-Puerta del Sol-Los Sauces de Cayma-Los Delfines","1.3.31","1","3","31"
"AQP","CAYMA","Urb.Los Andenes-Magdalena","1.3.32","1","3","32"
"AQP","CAYMA","Urb. Las Lomas de Cayma                                  ","1.3.33","1","3","33"
"AQP","CAYMA","Carmen Alto","1.3.34","1","3","34"
"AQP","CAYMA","Tronchaderos","1.3.35","1","3","35"
"AQP","CAYMA","Acequia Alta","1.3.36","1","3","36"
"AQP","CAYMA","Peblo Tradicional La Tomilla","1.3.37","1","3","37"
"AQP","CAYMA","Urb. Ecologica","1.3.38","1","3","38"
"AQP","CAYMA","Amp. La Tomilla","1.3.39","1","3","39"
"AQP","CAYMA","Juan Velazco Alvarado","1.3.40","1","3","40"
"AQP","CAYMA","Monte Verde","1.3.41","1","3","41"
"AQP","CAYMA","Chachani","1.3.42","1","3","42"
"AQP","CAYMA","Francisco Bolognesi","1.3.43","1","3","43"
"AQP","CAYMA","Villa Mirador de Chilina","1.3.44","1","3","44"
"AQP","CAYMA","Asociacion Santuario Charcani Virgen de Chapi","1.3.45","1","3","45"
"AQP","CAYMA","Urb.Maria Parado de Bellido","1.3.46","1","3","46"
"AQP","CAYMA","Urb.San Martin de Porras","1.3.47","1","3","47"
"AQP","CAYMA","Urb.Jose Olaya","1.3.48","1","3","48"
"AQP","CAYMA","Cielo Azul-Las Cortaderas-Upis Dean Valdivia","1.3.49","1","3","49"
"AQP","CAYMA","Quiñones -Amp.Quiñones","1.3.50","1","3","50"
"AQP","CAYMA","Haya de la Torre","1.3.51","1","3","51"
"AQP","CAYMA","Virgen de Chapi","1.3.52","1","3","52"
"AQP","CAYMA","20 de Febrero","1.3.53","1","3","53"
"AQP","CAYMA","Jose Olaya","1.3.54","1","3","54"
"AQP","CAYMA","Micaela Bastidas","1.3.55","1","3","55"
"AQP","CAYMA","Sr. De los Milagros","1.3.56","1","3","56"
"AQP","CAYMA","Urb. Rafael Belaunde","1.3.57","1","3","57"
"AQP","CAYMA","Los Descend. de R. Belaunde Gran Caiman","1.3.58","1","3","58"
"AQP","CAYMA","Sta Rosa de Lima","1.3.59","1","3","59"
"AQP","CAYMA","Primero de Junio","1.3.60","1","3","60"
"AQP","CAYMA","30 de Marzo","1.3.61","1","3","61"
"AQP","CAYMA","Sol de los Andes","1.3.62","1","3","62"
"AQP","CAYMA","Embajada del Japon A y B","1.3.63","1","3","63"
"AQP","CAYMA","Los Pioneros","1.3.64","1","3","64"
