"easting","northing","cityBlockNum","CU","PE","oanimal","I.NO","P.NO","open","infested","inspector","fitSet"
231378.140779,8183451.59943,729,0,0,0,0,0,0,0,43,0
231378.285035,8183499.038886,729,0,0,0,0,0,0,0,20,0
231382.683505,8183460.711965,729,0,0,0,0,0,0,0,39,0
231383.704372,8183523.642935,728,0,0,1,1,1,1,0,20,0
231385.515569,8183563.879295,727,0,0,0,0,0,0,0,39,0
231385.528368,8183465.503391,729,0,0,0,1,0,1,0,39,0
231388.214432,8183605.006053,727,0,0,0,0,0,0,0,35,0
231388.846009,8183471.418967,729,0,0,0,1,1,1,0,6,0
231390.01812,8183630.801299,726,0,1,1,1,1,1,0,20,0
231390.145537,8183572.850058,727,0,0,0,0,0,0,0,32,0
231390.857565,8183491.984735,729,0,0,0,0,0,0,0,32,0
231391.736695,8183519.187967,728,0,0,0,0,0,0,0,20,0
231392.601642,8183538.121364,728,0,0,0,0,0,0,0,20,0
231392.646501,8183645.21162,726,0,0,0,0,0,0,0,39,0
231394.004026,8183478.147762,729,0,0,0,0,0,0,0,35,0
231394.075674,8183654.771073,726,0,0,0,0,0,0,0,43,0
231394.455317,8183579.61388,727,0,0,0,1,0,1,0,20,0
231395.464452,8183629.399913,726,0,0,0,0,0,0,0,32,0
231395.845388,8183514.585024,728,0,1,1,1,0,1,0,39,0
231396.683204,8183605.720396,727,0,0,0,0,0,0,0,20,0
231397.135811,8183679.449199,726,0,0,0,1,0,1,0,35,0
231397.33539,8183484.375601,729,0,1,0,1,0,1,0,43,0
231398.190871,8183693.817259,726,0,0,0,1,0,1,0,43,0
231400.410465,8183700.394587,726,1,1,0,1,0,1,0,32,0
231400.478061,8183592.513702,727,0,0,1,1,0,1,0,35,0
231400.949985,8183512.344362,728,0,0,0,1,0,1,0,32,0
231401.036493,8183709.117837,726,0,0,0,0,0,0,0,32,0
231401.344694,8183729.830504,726,0,0,0,0,0,0,0,39,0
231401.499283,8183546.962396,728,1,0,0,1,0,1,0,35,0
231402.51377,8183740.429267,726,0,0,0,0,0,0,0,43,0
231404.658504,8183634.316217,726,0,0,0,0,0,0,0,43,0
231405.299236,8183554.767425,728,0,1,0,1,0,1,0,20,0
231405.537288,8183756.095481,726,0,0,0,0,0,0,0,35,0
231405.985789,8183789.369765,725,0,1,1,1,0,1,0,43,0
231407.698811,8183505.60003,728,0,1,0,1,1,1,0,8,0
231407.953759,8183605.05528,727,0,1,1,1,0,1,0,32,0
231408.016986,8183798.151706,725,0,0,0,0,0,0,0,20,0
231408.265667,8183806.362545,725,0,0,0,0,0,0,0,43,0
231408.324574,8183766.377801,726,1,1,0,1,0,1,0,32,0
231409.314127,8183811.830463,725,0,0,0,0,0,0,0,32,0
231409.804546,8183564.638798,728,0,0,0,0,0,0,0,32,0
231410.269642,8183819.092771,725,0,0,0,0,0,0,0,39,0
231412.304587,8183450.069643,711,0,0,0,0,0,0,0,45,0
231412.408359,8183516.158642,728,0,0,0,0,0,0,0,35,0
231414.187133,8183573.451415,728,1,0,0,1,1,1,0,35,0
231415.848208,8183459.016051,711,0,0,0,0,0,0,0,20,0
231415.904883,8183631.70706,726,0,0,1,1,1,1,0,43,0
231415.9457,8183788.773026,725,0,1,1,1,0,1,0,20,0
231416.302184,8183664.347432,726,0,0,0,1,1,1,0,39,0
231416.761673,8183645.518082,726,0,0,1,1,1,1,0,39,0
231417.014958,8183657.106702,726,0,1,0,1,0,1,0,39,0
231417.069211,8183668.670152,726,0,0,0,1,1,1,0,43,0
231417.174726,8183673.618053,726,0,1,0,1,0,1,0,43,0
231417.817592,8183818.418778,725,0,0,0,0,0,0,0,35,0
231417.894206,8183677.598766,726,0,0,0,0,0,0,0,39,0
231417.97199,8183529.060911,728,0,1,0,1,0,1,0,35,0
231418.106071,8183686.467855,726,0,1,0,1,0,1,0,43,0
231419.297376,8183582.891768,728,0,1,1,1,1,1,0,20,0
231419.964371,8183707.666596,726,0,1,1,1,0,1,0,35,0
231420.073723,8183699.499827,726,1,0,0,1,0,1,0,43,0
231420.164174,8183693.785609,726,0,0,0,0,0,0,0,20,0
231421.287404,8183716.166766,726,0,0,0,0,0,0,0,32,0
231421.310801,8183468.433427,711,0,0,0,0,0,0,0,32,0
231421.612005,8183533.484286,728,0,0,0,0,0,0,0,43,0
231421.666696,8183727.106621,726,0,0,0,0,0,0,0,20,0
231423.60955,8183592.179952,728,0,0,0,1,1,1,0,35,0
231423.953914,8183537.079855,728,0,0,0,0,0,0,0,39,0
231423.978796,8183735.613576,726,0,0,0,0,0,0,0,35,0
231424.583499,8183474.491869,711,0,0,0,0,0,0,0,18,0
231425.519965,8183746.363757,726,0,1,0,1,0,1,0,43,0
231426.734687,8183755.620641,726,0,0,1,1,0,1,0,32,0
231427.013392,8183814.860407,725,0,0,0,0,0,0,0,43,0
231427.849205,8183789.454835,725,0,1,0,1,1,1,0,20,0
231428.15111,8183543.745997,728,0,0,0,0,0,0,0,43,0
231428.620443,8183601.115871,728,0,1,0,1,1,1,0,35,0
231428.804254,8183479.30544,711,0,1,1,1,1,1,0,20,0
231430.51917,8183484.920473,711,0,0,0,0,0,0,0,39,0
