"X","Y","unicode","block_num","FR_D","FR_M","FR_A","opened","infested","p.i"
234211.528603,8181488.654038,"1.13.10.1",1007,11,12,6,1,1,0.00705
234256.992248,8181486.552366,"1.13.10.10",1008,19,12,6,0,0,0.184463343196687
234334.363842,8181329.462236,"1.13.10.100",1018,13,12,6,1,0,0.00351967000780265
234333.794074,8181339.560929,"1.13.10.101",1018,13,12,6,1,1,0.00705
234334.627887,8181348.56024,"1.13.10.102",1018,14,12,6,1,0,0.00329286489406398
234334.118911,8181357.771546,"1.13.10.103",1018,14,12,6,1,0,0.00335041246023648
234336.313763,8181287.669094,"1.13.10.104",1019,13,12,6,1,0,0.00236956497209051
234346.731406,8181287.859123,"1.13.10.105",1019,13,12,6,1,0,0.00235221607346498
234360.36251,8181289.565397,"1.13.10.106",1019,14,12,6,1,0,0.00236871868435268
234362.26745,8181279.105467,"1.13.10.107",1019,14,12,6,1,0,0.00233994490126643
234362.994833,8181268.999031,"1.13.10.108",1019,14,12,6,0,0,0.0584805090330712
234366.430062,8181258.614921,"1.13.10.109",1019,14,12,6,1,0,0.0023801435688134
234259.024831,8181477.524699,"1.13.10.11",1008,11,12,6,1,0,0.00267338226997179
234345.816879,8181258.186904,"1.13.10.110",1019,20,12,6,1,0,0.00240934049576856
234342.294349,8181267.837883,"1.13.10.111",1019,4,1,7,1,0,0.00235306236120281
234338.128807,8181279.130572,"1.13.10.112",1019,18,12,6,1,0,0.00235940951923654
234389.420013,8181286.279355,"1.13.10.113",1020,14,12,6,1,0,0.00236364095792569
234409.384772,8181286.128359,"1.13.10.114",1020,14,12,6,1,0,0.00237421955464858
234409.810605,8181276.731312,"1.13.10.115",1020,14,12,6,1,0,0.00237168069143509
234412.927744,8181268.023891,"1.13.10.116",1020,14,12,6,1,0,0.00237929728107557
234413.138286,8181259.123877,"1.13.10.117",1020,14,12,6,1,0,0.00239749246743893
234392.004768,8181258.903717,"1.13.10.118",1020,20,12,6,0,0,0.0714449169317568
234388.461896,8181267.190551,"1.13.10.119",1020,14,12,6,1,0,0.00235898637536762
234259.719029,8181467.439437,"1.13.10.12",1008,11,12,6,1,0,0.00260821811415881
234388.122042,8181276.947323,"1.13.10.120",1020,14,12,6,1,0,0.00234586891543125
234384.579973,8181308.582782,"1.13.10.121",1021,14,12,6,1,0,0.00249396926955165
234384.388463,8181318.962547,"1.13.10.122",1021,14,12,6,1,0,0.00246350291098974
234384.594931,8181330.769508,"1.13.10.123",1021,20,12,6,0,0,0.0863899982594082
234383.559722,8181340.672815,"1.13.10.124",1021,14,12,6,1,0,0.00243049768921433
234382.868633,8181350.173762,"1.13.10.125",1021,14,12,6,1,0,0.00247492779545045
234382.743132,8181361.8105,"1.13.10.126",1021,20,12,6,0,0,0.116640283356341
234382.621615,8181371.29966,"1.13.10.127",1021,20,12,6,0,0,0.14887124188224
234400.034299,8181375.597822,"1.13.10.128",1021,14,12,6,1,0,0.00263783818498289
234403.64445,8181365.61571,"1.13.10.129",1021,14,12,6,1,0,0.00258156005041714
234259.874391,8181459.253806,"1.13.10.13",1008,11,12,6,1,0,0.00265307136426385
234401.875601,8181353.597794,"1.13.10.130",1021,14,12,6,1,0,0.00243684484724806
234403.666758,8181342.807566,"1.13.10.131",1021,14,12,6,1,0,0.00247027321289238
234404.057636,8181331.871065,"1.13.10.132",1021,20,12,6,0,0,0.0948528756377168
234405.800959,8181317.536095,"1.13.10.133",1021,20,12,6,0,0,0.105476487665806
234404.954454,8181307.47528,"1.13.10.134",1021,15,12,6,1,0,0.00252782077906488
234402.683509,8181396.619495,"1.13.10.135",1022,14,12,6,1,0,0.00416284868855411
234380.531448,8181393.549227,"1.13.10.136",1022,14,12,6,1,0,0.00389415233179281
234377.7258,8181406.755024,"1.13.10.137",1022,14,12,6,1,1,0.00705
234377.069016,8181416.403724,"1.13.10.138",1022,14,12,6,1,0,0.00409514566952764
234376.509438,8181426.744177,"1.13.10.139",1022,14,12,6,0,0,0.414821665026109
234284.42124,8181458.358781,"1.13.10.14",1009,11,12,6,1,0,0.00250497101014345
234396.541221,8181424.652657,"1.13.10.140",1022,14,12,6,1,1,0.00705
234398.338989,8181414.188289,"1.13.10.141",1022,14,12,6,1,0,0.0044120804273453
234397.720316,8181406.048424,"1.13.10.142",1022,14,12,6,1,1,0.00705
234393.291716,8181445.733541,"1.13.10.143",1023,12,12,6,1,0,0.00258282948202389
234373.341982,8181444.68106,"1.13.10.144",1023,12,12,6,1,0,0.00254559282155933
234372.272104,8181454.80521,"1.13.10.145",1023,12,12,6,1,0,0.00248381381669768
234370.69755,8181465.648693,"1.13.10.146",1023,12,12,6,1,0,0.00248846839925575
234384.903284,8181467.196882,"1.13.10.147",1023,21,12,6,0,0,0.113639263009423
234397.137522,8181457.183157,"1.13.10.148",1023,11,12,6,1,0,0.00255067054798632
234424.568668,8181439.196234,"1.13.10.149",1024,13,12,6,1,0,0.00266999711902047
234283.299518,8181467.165161,"1.13.10.15",1009,19,12,6,0,0,0.0827287534361683
234420.437451,8181450.721398,"1.13.10.150",1024,12,12,6,1,0,0.00263868447272073
234421.052453,8181460.890518,"1.13.10.151",1024,11,12,6,1,0,0.00268142200348118
234442.841849,8181450.633029,"1.13.10.152",1024,12,12,6,1,0,0.00261287269671688
234445.837494,8181441.323219,"1.13.10.153",1024,12,12,6,1,0,0.00266111109777324
234446.442663,8181434.085697,"1.13.10.154",1024,12,12,6,1,0,0.00267592113318528
234447.843639,8181413.728756,"1.13.10.155",1025,15,12,6,1,0,0.0049824783626433
234447.160956,8181403.851007,"1.13.10.156",1025,20,12,6,0,0,0.64704061947062
234450.754178,8181394.532283,"1.13.10.157",1025,20,12,6,0,0,0.686113904387492
234448.28158,8181386.037969,"1.13.10.158",1025,14,12,6,1,1,0.00705
234431.834405,8181391.305442,"1.13.10.159",1025,14,12,6,1,1,0.00705
234282.874288,8181477.147126,"1.13.10.16",1009,20,12,6,1,0,0.00240934049576856
234429.28329,8181400.643219,"1.13.10.160",1025,15,12,6,1,0,0.00549025100534182
234428.454946,8181410.812244,"1.13.10.161",1025,15,12,6,1,1,0.00705
234427.525375,8181418.914743,"1.13.10.162",1025,20,12,6,0,0,0.616430211932057
234523.238384,8181358.005603,"1.13.10.163",1026,18,12,6,1,0,0.00527825592701518
234523.737005,8181368.762103,"1.13.10.164",1026,14,12,6,1,0,0.00578391285036912
234522.586286,8181376.486067,"1.13.10.165",1026,14,12,6,1,1,0.00705
234521.67189,8181385.793454,"1.13.10.166",1026,14,12,6,1,1,0.00705
234519.020535,8181398.088344,"1.13.10.167",1026,14,12,6,1,1,0.00705
234518.693357,8181413.91154,"1.13.10.168",1026,14,12,6,1,0,0.00537346329752116
234541.475275,8181398.003299,"1.13.10.169",1026,15,12,6,1,0,0.00570817009783326
234282.171091,8181489.58718,"1.13.10.17",1009,20,12,6,1,0,0.00244784658783987
234544.439181,8181386.242964,"1.13.10.170",1026,15,12,6,1,1,0.00705
234545.032385,8181378.729478,"1.13.10.171",1026,15,12,6,1,1,0.00705
234544.749788,8181370.041194,"1.13.10.172",1026,15,12,6,1,0,0.00569928407658604
234545.037681,8181360.902454,"1.13.10.173",1026,18,12,6,1,1,0.00705
234546.57098,8181351.086697,"1.13.10.174",1026,15,12,6,1,0,0.00501802244763219
234574.364429,8181348.548755,"1.13.10.175",1027,15,12,6,1,0,0.00292811487905888
234571.49677,8181357.157799,"1.13.10.176",1027,15,12,6,1,0,0.00297423756077066
234570.08657,8181365.979279,"1.13.10.177",1027,15,12,6,1,0,0.00303305455854991
234569.54794,8181378.346517,"1.13.10.178",1027,18,12,6,1,0,0.00324081819818738
234594.362961,8181366.467467,"1.13.10.179",1027,15,12,6,1,1,0.00705
234292.103433,8181490.319825,"1.13.10.18",1009,20,12,6,1,0,0.00241145621511314
234596.313266,8181355.291016,"1.13.10.180",1027,15,12,6,1,0,0.00311472132525059
234595.983305,8181347.405258,"1.13.10.181",1027,4,1,7,1,0,0.00290441882239962
234624.841843,8181344.791927,"1.13.10.182",1028,15,12,6,1,0,0.0024816980973531
234625.9264,8181356.113479,"1.13.10.183",1028,18,12,6,1,0,0.0025557482744133
234650.07254,8181357.627209,"1.13.10.184",1028,20,12,6,0,0,0.124803058699958
234647.406572,8181345.727572,"1.13.10.185",1028,4,1,7,1,0,0.00250285529079887
234674.078457,8181345.762999,"1.13.10.186",1029,20,12,6,1,0,0.0025392456635256
234672.61878,8181356.104962,"1.13.10.187",1029,15,12,6,1,0,0.0025227430526379
234695.988839,8181356.160144,"1.13.10.188",1029,15,12,6,0,0,0.138427691074965
234695.323184,8181344.769646,"1.13.10.189",1029,15,12,6,1,0,0.00260271724386291
234299.808661,8181493.853015,"1.13.10.19",1009,11,12,6,1,0,0.00241695708540904
234724.04184,8181341.775291,"1.13.10.190",1030,4,1,7,1,0,0.00234713834703799
234720.26285,8181350.809373,"1.13.10.191",1030,18,12,6,1,0,0.00234079118900426
234719.426896,8181361.384222,"1.13.10.192",1030,15,12,6,1,0,0.00237506584238641
234742.199163,8181362.427495,"1.13.10.193",1030,15,12,6,1,0,0.00233613660644619
234743.29132,8181351.834269,"1.13.10.194",1030,4,1,7,1,0,0.00230651653562211
